word,def,sentiment,
To DISTRA'IN.,To seize; to lay hold on as an indemnification for a debt.,,
To Distra'in.,To make seizure.,,
Distra'iner.,He that seizes.,,
Distra'int.,Seizure.,,
Distra'ught.,Distracted.,,
DISTRE'SS.,"1. The act of making a legal seizure. A compulsion in real actions, by which a man is assured to appear in court, or to pay a debt or duty which he refused. 3. The thing seized by law. 4. Calamity; misery; misfortune.",,
To Distre'ss.,1. To prosecute by law to a seizure. 2. To harrass; to make miserable; to crush with calamity,,
Distre'ssful.,Miserable; full of trouble; full of misery.,,
To DISTRI'BUTE.,To divide amongst more than two; to deal out.,,
Distri'buter.,One who deals out any thing; a bestower.,,
Distribu'tion.,"1. The act of distributing or dealing out to others. 2. Act of giving in charity. As an integral whole is distinguished into its several parts by division; so the word distribution is most properly used, when we distinguish an universal whole into its several kinds of species.",,
Distri'butive.,1. That which is employed in assigning to others their portions; 2. That which assigns the various species of a general term.,,
Distri'butively.,1. By distribution. 2. Singly; particularly. 3. In a manner that expresses singly all the particulars included in a general term; not collectively.,,
Di'strict.,The circuit or territory within which a man may be thus compelled to appearance. 2. Circuit of authority; province. 3. Region; country; territory.,,
To Distru'st.,To regard with diffidence; to diffide in; not to trust.,,
Distru'st.,1. Discredit; loss of credit; loss of confidence. 2. Suspicion; want of faith; want of confidence in another.,,
Distru'stful.,1. Apt to distrust; suspicious. 2. Not confident; diffident. 3. Diffident of himself; modest; timorous.,,
Distru'stfully.,In a distrustful manner.,,
Distru'stfulness.,The state of being distrustful; want of confidence.,,
To DISTU'RB.,1. To perplex; to disquiet; to deprive of tranquillity. 2. To confound; to put into irregular motions. 3. To interrupt; to hinder. 4. To turn off from any direction:,,
Distu'rbance.,1. Perplexity; interruption of tranquillity. 2. Confusion; disorder. 3. Tumult; violation of peace.,,
Distu'rber.,1. A violater of peace; he that causes tumults and publick disorders. 2. He that injures tranquillity; he that causes perturbation of mind.,,
To Distu'rn.,To turn off; to turn aside.,,
Disu'nion.,1. Separation; disjunction. 2. Breach of concord.,,
To Disuni'te.,1. To separate; to divide. 2. To part friends or allies.,,
To Disuni'te.,To fall asunder; to become separate.,,
Disu'nity.,A state of actual separation.,,
Disu'sage.,The gradual cessation of use or custom.,,
Disu'se.,1. Cessation of use; dessuetude; want of practice. 2. Cessation of custom.,,
To Disu'se.,1. To cease to make use of. 2. To disaccustom.,,
Disvalua'tion.,Disgrace; diminution of reputation.,,
To Disva'lue.,To undervalue; to set a low price upon.,,
To Disve'lop.,To uncover.,,
To Disvo'uch.,To destroy the credit of; to contradict.,,
Diswi'tted.,Deprived of the wits; mad; distracted.,,
Dit.,A ditty; a poem; a tune.,,
DITCH.,"1. A trench cut in the ground usually between fields. 2. Any long narrow receptacle of water: 3. The moat with which a town is surrounded. 4. Ditch is used, in composition, of any thing worthless, or thrown away into ditches.",,
To Ditch.,To make a ditch.,,
Ditch-delivered.,Brought forth in a ditch.,,
Di'tcher.,One who digs ditches.,,
Dithyra'mbick.,"1. A song in honour of Bacchus; in which anciently, and now among the Italians, the distraction of ebriety is imitated. 2. Any poem written with wildness and enthusiasm.",,
Di'ttany.,"Dittany hath been renowned for many ages, upon the account of its sovereign qualities in medicines. It is generally brought over dry from the Levant.",,
Di'ttied.,Sung; adapted to musick.,,
DI'TTY.,A poem to be sung; a song.,,
Diure'tick.,Having the power to provoke urine.,,
DIU'RNAL.,1. Relating to the day. 2. Constituting the day. 3. Performed in a day; daily; quotidian.,,
Diu'rnal.,A journal; a day-book.,,
Diu'rnally.,Daily; every day.,,
Diutu'rnity.,Length of duration.,,
Diva'n.,1. The council of the Oriental princes. 2. Any council assembled:,,
To DIVA'RICATE.,To be parted into two; to become bifid.,,
To Diva'ricate.,To divide into two.,,
Divarica'tion.,1. Partition into two. 2. Division of opinions.,,
To DIVE.,1. To sink voluntarily under water. 2. To go under water in search of any thing. 3. To go deep into any question; doctrine; or science. 4. To immerge into any business or condition. 5. To depart from observation.,,
To Dive.,To explore by diving.,,
Di'ver.,1. One that sinks voluntarily under water. 2. One that goes under water in search of treasure. 3. He that enters deep into knowledge or study.,,
To DIVE'RGE.,To tend various ways from one point.,,
Dive'rgent.,Tending to various parts from one point.,,
Di'vers.,Several; sundry; more than one.,,
Di'verse.,1. Different from another. 2. Different from itself; various; multiform; diffused. 3. In different directions.,,
Diversifica'tion.,1. The act of changing forms or qualities. 2. Variation; variegation. 3. Variety of forms; multiformity. 4. Change; alteration.,,
To Dive'rsify.,1. To make different from another; to distinguish. 2. To make different from itself; to vary; to variegate.,,
Dive'rsion.,"1. The act of turning any thing off from its course. 2. The cause by which any thing is turned from its proper course or tendency. 3. Sport; something that unbends the mind by turning it off from care. The act or purpose of drawing the enemy off from some design, by threatening or attacking a distant part.",,
Dive'rsity.,1. Difference; dissimilitude; unlikeness. 2. Variety. 3. Distinct being; not identity. 4. Variegation.,,
Di'versly.,1. In different ways; differently; variously. 2. In different directions; to different points.,,
To DIVE'RT.,"1. To turn off from any direction or course. 2. To draw forces to a different part. 3. To withdraw the mind. 4. To please; to exhilerate. 5. To subvert; to destroy, in Shakespeare.",,
Dive'rter.,Any thing that diverts or alleviates.,,
To DIVERTI'SE.,To please; to exhilerate; to divert.,,
Dive'rtisement.,Diversion; delight; pleasure.,,
Dive'rtive.,Recreative; amusive; exhilerating.,,
To DIVE'ST.,To strip; to make naked.,,
Dive'sture.,The act of putting off.,,
Di'vidable.,Separate; different; parted.,,
Divi'dant.,Different; separate.,,
To DIVI'DE.,1. To part one whole into different pieces. 2. To separate; to keep apart; to stand as a partition between. 3. To disunite by discord. 4. To deal out; to give in shares.,,
To Divi'de.,To part; to sunder; to break friendship.,,
Di'vidend.,A share; the part allotted in division.,,
Divi'der.,1. That which parts any thing into pieces. 2. A distributer; he who deals out to each his share. 3. A disuniter; the person or cause that breaks concord. 4. A particular kind of compasses.,,
Divi'dual.,Divided; shared or participated in common with others.,,
Divina'tion.,"Divination is a prediction or foretelling of future things, which are of a secret and hidden nature, and cannot be known by any human means.",,
DIVI'NE.,1. Partaking of the nature of God. 2. Proceeding from God; not natural; not human. 3. Excellent in a supreme degree. 4. Presageful; divining; prescient.,,
Divi'ne.,1. A minister of the gospel; a priest; a clergyman. 2. A man skilled in divinity; a theologian.,,
To Divi'ne.,1. To foretell; to foreknow; to presage.,,
To Divi'ne.,1. To utter prognostication. 2. To feel presages. 3. To conjecture; to guess.,,
Divi'nely.,1. By the agency or influence of God. 2. Excellently in the supreme degree. 3. In a manner noting a deity.,,
Divi'neness.,1. Divinity; participation of the divine nature. 2. Excellence in the supreme degree.,,
Divi'neress.,A prophetess; a woman professing divination.,,
Divi'nity.,1. Participation of the nature and excellence of God; deity; godhead. 2. God; the Deity; the Supreme Being; the Cause of causes. 3. False god. 4. Celestial being. 5. The science of divine things; theology. 6. Something supernatural.,,
Divisibi'lity.,The quality of admitting division or separation of parts.,,
DIVI'SIBLE.,Capable of being divided into parts; discerptible; separable.,,
Divi'sibleness.,Divisibility.,,
Divi'sion.,"1. The act of dividing any thing into parts. 2. The state of being divided. 3. That by which any thing is kept apart; partition. 4. The part which is separated from the rest by dividing. 5. Disunion; discord; difference. 6. Parts into which a discourse is distributed. 7. Space between the notes of musick, or parts of a musical composure; just time. 8. Distinction. 9. The separation or parting of any number or quantity given, into any parts assigned. 10. Subdivision; distinction of the general into species.",,
Divi'sor.,"The number given, by which the dividend is divided; the number which sheweth how many parts the dividend is to be divided into.",,
DIVO'RCE.,The legal separation of husband and wife. 2. Separation; disunion. 3. The sentence by which a marriage is dissolved. 4. The cause of any penal separation.,,
To Divo'rce.,1. To separate a husband or wife from the other. 2. To force asunder; to separate by violence. 3. To separate from another. 4. To take away.,,
Divo'rcement.,Divorce; separation of marriage.,,
Divo'rcer.,The person or cause which produces divorce or separation.,,
To DIVU'LGE.,1. To publish; to make publick; to reveal to the world. 2. To proclaim.,,
Divu'lger.,A publisher; one that exposes to publick view.,,
Divu'lsion.,The act of plucking awry.,,
To Di'zen.,To dress; to deck; to rig out.,,
Di'zzard.,A blockhead; a fool.,,
Di'zziness.,Giddiness; whirl in the head.,,
DI'ZZY.,1. Giddy; vertiginous; having in the head the sensation of turning round. 2. Causing giddiness. 3. Giddy; thoughtless.,,
To Di'zzy.,To whirl round; to make giddy.,,
"To DO. what to Do with,","1. To practise or act any thing good or bad. 2. To perform; to atchieve. 3. To execute; to discharge. 4. To cause. 5. To transact. 6. To produce any effect to another. 7. To have recourse to; to practise as the last effort, commonly in the form of a passionate interrogation. 8. To perform for the benefit of another. 9. To exert; to put forth. 10. To manage by way of intercourse or dealing; to have business; to deal. 11. To gain a point; to effect by influence. 12. To make any thing what it is not. 13. To finish; to end. 14. To conclude; to settle. 15. To put. 16. This phrase, signifies how to bestow; what use to make of; what course to take; how to employ; which way to get rid of.",,
To Do.,"1. To act or behave in any manner well or ill. 2. To make an end; to conclude. 3. To cease to be concerned with; to cease to care about; to desist from notice or practice. 4. To fare; to be with regard to sickness or health. 5. To succeed; to fulfil a purpose. 7. Do is a word of vehement command, or earnest request;",,
DO'CIBLE.,Tractable; docile; easy to be taught.,,
Do'cibleness.,Teachableness; docility; readiness to learn.,,
DO'CILE.,1. Teachable; easily instructed; tractable.,,
Doci'lity.,Aptness to be taught; readiness to learn.,,
Dock.,"The cup of the flower consists of six leaves, three large, and red; the other three lesser, and green: in the middle of the cup are placed six stamina. The three outer small leaves of the cup fall away, when ripe; but the three inner large leaves join together, and form a triangular covering, in the middle of which are contained three shining cornered seeds. The species are seventeen, ten of which grow wild, several of them being used in medicine; and the sort called the oriental burdock, is said to be the true rhubarb.",,
DOCK.,"The stump of the tail, which remains after docking.",,
Dock.,"A place where water is let in or out at pleasure, where ships are built or laid up.",,
To Dock.,1. To cut off a tail. 2. To cut any thing short. 3. To cut off a reckoning; to cut off an entail. 4. To lay the ship in a dock,,
Do'cket.,A direction tied upon goods; a summary of a larger writing.,,
DO'CTOR.,"1. One that has taken the highest degree in the faculties of divinity, law, or physick. In some universities they have doctors of musick. In its original import it means a man so well versed in his faculty, as to be qualified to teach it. 2. A man skilled in any profession. 3. A physician; one who undertakes the cure of diseases. 4. Any able or learned man.",,
To Do'ctor.,To physick; to cure; to treat with medicines.,,
